priority,theme,score,file_name,extension,size_bytes,modified_at,sha256,source_path,identity_terms,research_terms,claim_control
P0,gary_profile_and_public_metadata,150,HNC_Grand_Unified_v2_PrimarySource_Leckey_2026.docx,.docx,45578,2026-04-08T18:00:25.906075+01:00,cdf6ab9f95d1100799b692b4a3b78c78bf86115f9580d3916abe4ab5d04c47b3,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\docs\research\whitepapers\HNC_Grand_Unified_v2_PrimarySource_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;coherence;epas;framework;harmonic;hnc;paper;publication;research;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,150,HNC_Grand_Unified_v3_ClearTables_Leckey_2026.docx,.docx,43924,2026-04-08T20:43:00.272793+01:00,24a9991d00be4fbeebb9d216424107296573ddeb838f8b68c3d3a35ad699a65d,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_v3_ClearTables_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;coherence;epas;framework;harmonic;hnc;paper;publication;research;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,150,HNC_Grand_Unified_v4_Fixed_Leckey_2026.docx,.docx,44007,2026-04-08T20:43:00.329876+01:00,ab397e25d0fc2bb676b8b3f01cc014d8b5e0d5af126839ebb35204bc09e2e8f2,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_v4_Fixed_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;coherence;epas;framework;harmonic;hnc;paper;publication;research;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,149,HNC_White_Paper_v3-1.docx,.docx,1108247,2026-05-21T13:25:21.664670+01:00,77bd1f9364271d0f7feddd7542a0ea54df3caea71b854b711a2269d9ad2149a4,C:\Users\user\aureon-trading\Antarctic research\HNC_White_Paper_v3-1.docx,aureon;aureon institute;gary;gary leckey;gaxlec;leckey;r&a consulting,antarctic;arctic;audit;coherence;empirical;framework;harmonic;hnc;paper;research;validation;white paper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,148,IFS_FUTURE_LEADERS_R11_SUPPORTING_EVIDENCE_20260709.md,.md,4343,2026-07-09T07:35:14.229937+01:00,64a4e07129ceacb11a3f0d22ab3aa4e7eb816a04c09c778aed419698f413abbc,C:\Users\user\aureon-trading\data\research\grants\applications\funder_ready\IFS_FUTURE_LEADERS_R11_SUPPORTING_EVIDENCE_20260709.md,aureon;aureon institute;gary;gary anthony leckey;gary leckey;gaxlec;leckey;r&a consulting,audit;epas;evidence os;hnc;profile;research;technical report;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,148,The_Math_Angel_Protocol_A_Mathematical_Framework.docx,.docx,9378523,2026-04-08T20:42:58.909114+01:00,02edd6d946b6b7224f7ec68414d02caf2b8dc3630d37f55e89021533c3de3dab,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\publication_and_outreach\AureonResearch\01_Theory\whitepapers\The_Math_Angel_Protocol_A_Mathematical_Framework.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;empirical;framework;paper;preprint;publication;research;validation;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,145,HNC_Grand_Unified_v2_PrimarySource_Leckey_2026_rev2.docx,.docx,39487,2026-04-08T20:42:58.515233+01:00,0071afff94a62aeda6b9d07f783f9638c5248b8dc2f241c8d3388ed1eb729604,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_v2_PrimarySource_Leckey_2026_rev2.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;epas;framework;harmonic;hnc;paper;research;thesis;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,145,HNC_Grand_Unified_v4_Mobile_Leckey_2026.docx,.docx,35250,2026-04-08T20:43:00.385673+01:00,b726b2a01300515aaa664f3e3ae2d240784fa559b5c92c9fcbfb61409dcd5b92,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_v4_Mobile_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;epas;framework;harmonic;hnc;paper;research;thesis;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,145,IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.json,.json,3316,2026-07-09T06:17:20.018324+01:00,db2a30d3a2b54c3cc5f6e023df72c93d530344fb2d27f97c7d2e50055d488576,C:\Users\user\aureon-trading\data\research\grants\applications\IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.json,aureon;aureon institute;gary;gary anthony leckey;gary leckey;gaxlec;leckey;r&a consulting,audit;epas;evidence os;hnc;research;thesis;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,143,HNC_Empirical_Audit_v3-1.pptx,.pptx,1586918,2026-07-03T20:51:09.749857+01:00,3b8132c566cb946e47d81c7550c52e57761f64560b3a9a6f3f5a2f8d16a34123,C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pptx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,academia;antarctic;arctic;audit;coherence;empirical;framework;harmonic;hnc;research;researchgate;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,143,The_Doorbell_Hypothesis_Leckey.docx,.docx,2563521,2026-04-08T20:43:15.556997+01:00,0e3dc22e70860967a3dc3ba9ae7aa5149a27ee67d473f183acbe839a16b74f44,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\The_Doorbell_Hypothesis_Leckey.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;druid;epas;framework;harmonic;lidar;paper;research;thesis;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,140,HNC_Empirical_Audit_v3-1.pdf,.pdf,1208024,2026-07-03T20:51:09.877095+01:00,adac8f797ca57088a0c6c5fd2cf9ccde2d800a6d335a8ff63dbe0c1a910558ef,C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,academia;antarctic;arctic;audit;empirical;framework;harmonic;hnc;research;researchgate;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,139,Harmonic_Solar_System_Survey_Leckey.docx,.docx,1771906,2026-04-08T20:43:14.888604+01:00,1446a9e0ae0b0aef9e98b9f519c3f5eec091cf0205dd48c9f8d0d0e637c64926,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\02_Cosmic_Intelligence\whitepapers\Harmonic_Solar_System_Survey_Leckey.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;framework;harmonic;hnc;lidar;paper;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,139,HNC_Grand_Unified_Framework_Leckey_2026.docx,.docx,50380,2026-04-08T20:43:00.132898+01:00,de4c29869fc5f533139ccd071c844575672be98d9403be71b5b7d2e85c52eae8,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_Framework_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;framework;harmonic;hnc;paper;research;thesis;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,139,HNC_VERIFICATION_AUDIT_v3_2026-04-29.md,.md,14396,2026-05-21T09:18:34.871981+01:00,4052e25058652a69f359cfde55d7439845602e868d0df5f949e6ef0c30fb9245,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\validation_and_evidence\docs\research\audits\HNC_VERIFICATION_AUDIT_v3_2026-04-29.md,aureon;aureon institute;gary;gary anthony leckey;gary leckey;leckey;r&a consulting,audit;empirical;framework;harmonic;hnc;research;validation;verification,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,139,THE_SYNTHESIS.md,.md,10943,2026-04-08T20:42:30.381512+01:00,b73a22ed3ad4a69dfb014f0ffa907c76951257fa7f322ff63d8a6dc5a8d5a371,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\misc_research\AureonResearch\01_Theory\THE_SYNTHESIS.md,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;framework;harmonic;hnc;paper;research;thesis;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,139,THE_SYNTHESIS.md,.md,10991,2026-05-21T09:18:34.762198+01:00,5e58007348d2e11fc2006e079e11de83b73aa4144588f8c036f597df148aa9b7,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\repo_operator_research\docs\THE_SYNTHESIS.md,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,coherence;framework;harmonic;hnc;paper;research;thesis;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,138,HNC_research_paper_2026-04-07.md.pdf,.pdf,213640,2026-04-08T20:42:38.174120+01:00,4780f86f77e6eccefc1c8fb42b605ca62082a588b420f1724f24145c3d486a5b,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_research_paper_2026-04-07.md.pdf,aureon;aureon institute;gary;gary anthony leckey;leckey;r&a consulting,audit;coherence;framework;harmonic;hnc;paper;preprint;research;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,137,grant_ready_metadata_expanded_20260705.json,.json,5435,2026-07-05T10:23:50.415908+01:00,de162534b3688cb0a450152a52ba1ee662823d104716ed92d4f804c7d6ab685e,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\grant_ops_and_applications\research\grants\grant_ready_metadata_expanded_20260705.json,aureon;aureon institute;gary;gary anthony leckey;leckey;r&a consulting,audit;coherence;evidence os;framework;hnc;metadata;research;thesis;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,137,HNC_Evolutionary_Framework.pdf,.pdf,20588,2026-04-08T20:42:58.741514+01:00,c7a836e1a819606ed519fe67ac1e3977094be1e873ef289ab5049779cc059e1e,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Evolutionary_Framework.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;framework;harmonic;hnc;paper;preprint;research;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,137,Leckey_HNC_Evolutionary_Framework_arXiv.pdf,.pdf,22821,2026-04-08T20:42:58.681831+01:00,1b7df96edc7b8c15f3b74852c51603266b3244ef0191208be01e244a7520e8a4,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\Leckey_HNC_Evolutionary_Framework_arXiv.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;framework;harmonic;hnc;paper;preprint;research;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,137,Leckey_HNC_Evolutionary_Framework_arXiv.pdf,.pdf,22621,2026-07-03T20:51:10.509858+01:00,dd8081100c358606743a7343f9d8b7df66fd1e2ae0bb46275eaa6bbbfe52ad30,C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\research\whitepapers\Leckey_HNC_Evolutionary_Framework_arXiv.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;framework;harmonic;hnc;paper;preprint;research;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,company_metadata_and_grant_readiness,136,HUB_SOURCE_MAP_20260705.md,.md,4188,2026-07-05T11:09:10.341527+01:00,101c423d1e68bd81dc076158e40bf95a71020b30605cfc5dfa04a24bf3fc2097,C:\Users\user\Aureon_Work_Hub_20260705\00_INDEXES\HUB_SOURCE_MAP_20260705.md,aureon,alfie;antarctic;arctic;audit;coherence;druid;epas;harmonic;hnc;lidar;lumina;metadata;paper;publication;research;validation;verification;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,135,AUREON_UNIFIED_WORK_CORPUS_20260709.json,.json,490456,2026-07-09T06:17:20.001882+01:00,f020a7c3f650a8d81b40cfe3019b8a4ca6c3c10f6f8ad16c39e472cce66f267e,C:\Users\user\aureon-trading\data\research\grants\AUREON_UNIFIED_WORK_CORPUS_20260709.json,aureon;aureon institute;gary;gary anthony leckey;leckey;r&a consulting,audit;coherence;evidence os;framework;hnc;paper;profile;research;thesis;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,135,AUREON_UNIFIED_WORK_CORPUS_20260709.md,.md,19665,2026-07-09T06:17:20.002938+01:00,ea9f17d9c37c1023cfc448bb603aee0480d9e01d51969f6abda6061138a1d94f,C:\Users\user\aureon-trading\data\research\grants\AUREON_UNIFIED_WORK_CORPUS_20260709.md,aureon;aureon institute;gary;gary anthony leckey;leckey;r&a consulting,audit;coherence;evidence os;framework;hnc;paper;profile;research;thesis;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,135,EPAS_ZPE_RESEARCH_PAPER.md,.md,27518,2026-04-08T20:43:14.378905+01:00,4c9027c6e76294757f3499097c0bbdfc0d73995d528c4d18fdc6a9cd75628fcc,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\EPAS_ZPE_RESEARCH_PAPER.md,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,druid;epas;framework;harmonic;hnc;lidar;paper;research;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,132,EPAS_Unified_Architecture_Project_Druid.pdf,.pdf,144120,2026-04-08T20:43:15.081281+01:00,44b4c87024af240e640449c3a81a7538c1c3d2ac7ded0093a541bdf8278b49c8,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\EPAS_Unified_Architecture_Project_Druid.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;lidar;paper;research;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,132,HNC_Empirical_Audit_v.pdf,.pdf,760229,2026-07-04T22:54:17.314087+01:00,e968925fa1fdfd2079b889d2d2f4aceafac8696b7d7418cee792a7d0d5903056,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\validation_and_evidence\Downloads\HNC_Empirical_Audit_v.pdf,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,academia;audit;empirical;framework;harmonic;hnc;research;researchgate;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,132,HNC_MYCELIUM_WHITEPAPER.docx,.docx,21916,2026-04-08T20:43:00.069473+01:00,40ff489f8d5f49d4e16b01065da64010b3b20df242ce760fd6fd4d77e45f957d,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_MYCELIUM_WHITEPAPER.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,harmonic;hnc;paper;research;thesis;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
