"Collection","SourcePath","HubPath","Name","Extension","Length","LastWriteTime"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\fe0883b042c1c21ee72b8e80b0b495976a69233b.png","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\fe0883b042c1c21ee72b8e80b0b495976a69233b.png","fe0883b042c1c21ee72b8e80b0b495976a69233b.png",".png","366455","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\2037065797_FACT.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\2037065797_FACT.pdf","2037065797_FACT.pdf",".pdf","90877","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\antarctic_true_shape_replay_report.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\antarctic_true_shape_replay_report.md","antarctic_true_shape_replay_report.md",".md","3491","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\Atlantic_Seaboard_Substrate_v1.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\Atlantic_Seaboard_Substrate_v1.pdf","Atlantic_Seaboard_Substrate_v1.pdf",".pdf","899433","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-1.html","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-1.html","aureon_poster-1.html",".html","19603","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-2.html","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-2.html","aureon_poster-2.html",".html","19603","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-3.html","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\aureon_poster-3.html","aureon_poster-3.html",".html","19603","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1 (1).docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1 (1).docx","From_A_to_B_v1 (1).docx",".docx","36393","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1.docx","From_A_to_B_v1.docx",".docx","34281","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1-1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\From_A_to_B_v1-1.docx","From_A_to_B_v1-1.docx",".docx","34281","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pdf","HNC_Empirical_Audit_v3-1.pdf",".pdf","1208024","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pptx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-1.pptx","HNC_Empirical_Audit_v3-1.pptx",".pptx","1586918","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-2.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-2.pdf","HNC_Empirical_Audit_v3-2.pdf",".pdf","1208024","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-2.pptx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-2.pptx","HNC_Empirical_Audit_v3-2.pptx",".pptx","1586918","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-3.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-3.pdf","HNC_Empirical_Audit_v3-3.pdf",".pdf","1208024","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-3.pptx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_Empirical_Audit_v3-3.pptx","HNC_Empirical_Audit_v3-3.pptx",".pptx","1586918","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_White_Paper_v3-1.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_White_Paper_v3-1.pdf","HNC_White_Paper_v3-1.pdf",".pdf","1197023","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_White_Paper_v3-2.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\HNC_White_Paper_v3-2.pdf","HNC_White_Paper_v3-2.pdf",".pdf","1197023","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\People_of_the_Threshold_v1 (1).docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\People_of_the_Threshold_v1 (1).docx","People_of_the_Threshold_v1 (1).docx",".docx","35827","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\People_of_the_Threshold_v1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\People_of_the_Threshold_v1.docx","People_of_the_Threshold_v1.docx",".docx","35827","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\sfbb-introduction_2.pdf","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\sfbb-introduction_2.pdf","sfbb-introduction_2.pdf",".pdf","2831622","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\Template_2026_SysTechDev-OTH (1).docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\Template_2026_SysTechDev-OTH (1).docx","Template_2026_SysTechDev-OTH (1).docx",".docx","56060","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Arctic_Threshold_v1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Arctic_Threshold_v1.docx","The_Arctic_Threshold_v1.docx",".docx","37651","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Atlantic_Substrate_v1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Atlantic_Substrate_v1.docx","The_Atlantic_Substrate_v1.docx",".docx","34531","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Atlantic_Substrate_v1-1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Atlantic_Substrate_v1-1.docx","The_Atlantic_Substrate_v1-1.docx",".docx","34531","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Full_Story_v1 (1).docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Full_Story_v1 (1).docx","The_Full_Story_v1 (1).docx",".docx","45292","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Full_Story_v1.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\The_Full_Story_v1.docx","The_Full_Story_v1.docx",".docx","42474","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\aureon_animal_momentum_scanners.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\aureon_animal_momentum_scanners.py","aureon_animal_momentum_scanners.py",".py","209","03/07/2026 20:51:10"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\aureon_elephant_learning.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\aureon_elephant_learning.py","aureon_elephant_learning.py",".py","203","03/07/2026 20:51:10"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\aureon_lighthouse.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\aureon_lighthouse.py","aureon_lighthouse.py",".py","128","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\aureon_thought_bus.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\aureon_thought_bus.py","aureon_thought_bus.py",".py","175","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\capital_hft_stress.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\capital_hft_stress.py","capital_hft_stress.py",".py","27222","03/07/2026 20:51:10"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\ARCHITECTURE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\ARCHITECTURE.md","ARCHITECTURE.md",".md","3599","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\CONTINUOUS_MARKET_WORLDVIEW_PIPELINE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\CONTINUOUS_MARKET_WORLDVIEW_PIPELINE.md","CONTINUOUS_MARKET_WORLDVIEW_PIPELINE.md",".md","5569","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\INTELLIGENCE_WIRING_MATRIX.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\INTELLIGENCE_WIRING_MATRIX.md","INTELLIGENCE_WIRING_MATRIX.md",".md","6477","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\OPEN_MARKET_DATA_MATRIX.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\OPEN_MARKET_DATA_MATRIX.md","OPEN_MARKET_DATA_MATRIX.md",".md","6836","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Operations.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Operations.md","Operations.md",".md","1329","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Philosophy.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Philosophy.md","Philosophy.md",".md","3250","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\POWER_STATION_ARCHITECTURE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\POWER_STATION_ARCHITECTURE.md","POWER_STATION_ARCHITECTURE.md",".md","17819","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\POWER_STATION_TRANSFORMATION.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\POWER_STATION_TRANSFORMATION.md","POWER_STATION_TRANSFORMATION.md",".md","10834","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\PREDICTION_PROCESS_TREE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\PREDICTION_PROCESS_TREE.md","PREDICTION_PROCESS_TREE.md",".md","18260","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\REPO_MINDMAP.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\REPO_MINDMAP.md","REPO_MINDMAP.md",".md","89878","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_ARCHITECTURE_MAP.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_ARCHITECTURE_MAP.md","SYSTEM_ARCHITECTURE_MAP.md",".md","25276","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_HUB_ARCHITECTURE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_HUB_ARCHITECTURE.md","SYSTEM_HUB_ARCHITECTURE.md",".md","26651","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_HUB_README.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_HUB_README.md","SYSTEM_HUB_README.md",".md","6681","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_INTEGRATION_VERIFICATION.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_INTEGRATION_VERIFICATION.md","SYSTEM_INTEGRATION_VERIFICATION.md",".md","11936","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_LANDSCAPE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\SYSTEM_LANDSCAPE.md","SYSTEM_LANDSCAPE.md",".md","4989","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Technical-Overview.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\Technical-Overview.md","Technical-Overview.md",".md","3230","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\THEORETICAL_INTEGRATION.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\THEORETICAL_INTEGRATION.md","THEORETICAL_INTEGRATION.md",".md","6926","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\THEORY_TO_CODE.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\THEORY_TO_CODE.md","THEORY_TO_CODE.md",".md","3069","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\architecture\UNIFIED_DATA_FLOW.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\architecture\UNIFIED_DATA_FLOW.md","UNIFIED_DATA_FLOW.md",".md","15989","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\AUREON_MIND_STATUS.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\AUREON_MIND_STATUS.md","AUREON_MIND_STATUS.md",".md","7963","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\azyra_warehouse_admin_reality_check.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\azyra_warehouse_admin_reality_check.md","azyra_warehouse_admin_reality_check.md",".md","2925","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\BINANCE_ALGO_API_REFERENCE.txt","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\BINANCE_ALGO_API_REFERENCE.txt","BINANCE_ALGO_API_REFERENCE.txt",".txt","27933","03/07/2026 20:51:11"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\docs\CHANGELOG.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\docs\CHANGELOG.md","CHANGELOG.md",".md","3944","03/07/2026 20:51:11"
